"node","_Intercept__estimate","_Intercept__p_value","ConditioncondCond_over_Expt_estimate","ConditioncondCond_over_Expt_p_value"
1,0.997219356125142,7.34554830790143e-80,0.01736632548322,0.00310232970400034
2,0.766932197087816,6.9729143778258e-45,0.0892540828890804,2.72374155258679e-15
3,0.855637987795909,2.34592733126857e-56,0.0231755903552164,0.00296859807643302
4,0.836806298093974,2.06047114295329e-49,0.0732452835997089,3.71290928283529e-14
5,0.810927715721667,1.17628660536149e-51,0.0451598944976358,6.4654084029273e-07
6,0.924072745132719,3.69725372442399e-47,0.0306559686294866,0.000370333404057187
7,0.843616744602255,2.79202180153211e-48,0.0287064626527495,0.00212685807663106
8,0.75623602038211,1.72149290413603e-44,0.0474644919100955,2.24669321734957e-06
9,0.883882349090917,1.8407977191101e-67,0.0261292707048492,0.00576080288803294
10,0.960563759110807,1.10178435318399e-64,0.0235716349912345,0.0134972929305531
11,0.973286885915107,6.40646652331182e-73,0.00830228872882387,0.265936795703146
12,0.906784071810105,1.01371402919335e-56,0.0407710269195138,4.11215686084491e-05
13,0.938602228403137,2.59884256027416e-45,0.0824588240968477,6.34963148996893e-11
14,0.797573966117979,7.43666796196901e-43,0.0718365024899156,4.52790019522253e-09
15,0.921587489899592,5.47266638383253e-50,0.0149658889585545,0.104776270554186
16,0.910849031853819,1.5397018198808e-53,0.0426637758878835,1.37926358940594e-06
17,0.852179318930053,6.02941014745573e-45,0.0466857809791116,5.78154972610398e-05
18,0.869852209544699,1.34093353111244e-46,0.0411147211933808,9.53283078753676e-05
19,0.827568369319931,3.51441063308988e-41,0.0323404669997424,0.0171013125050201
20,0.94008826344683,1.5598157244336e-51,0.0362654326692731,0.000599279867537223
21,0.858277223169816,1.88178177956862e-45,0.0326936631201767,0.00512468453059313
22,0.907213766186494,6.18938743237319e-62,0.0467483700108896,6.84650791728145e-07
23,0.876826162059161,6.99760744510881e-59,0.0501901330250711,1.1722174311975e-07
24,0.925009984219271,1.29518351323108e-51,0.0179116499788249,0.0629320041184743
25,0.989207560580832,7.62431751647496e-56,0.00719914083208746,0.281021317726906
26,0.942960916462303,1.93827030005021e-72,0.017630208714772,0.0204141556586333
27,0.979434161959145,1.04369790053677e-53,0.00930484314784446,0.257511565396052
28,0.946758456265279,3.70187954541326e-70,0.0160314243894866,0.0464780968428259
29,0.97984666930631,3.46061324845294e-54,0.010005578056094,0.153590069732979
30,0.882886087202252,8.59467475906683e-57,0.0412836121381959,5.24325425541947e-05
31,1.07896142105884,2.94713358930057e-83,0.00393696579411881,0.425244408846693
32,1.0465991715171,4.63999995733397e-84,0.00533936340493698,0.259868152961927
33,1.06469155405697,1.94574526162749e-55,0.00914561829683212,0.143622037657805
34,0.902337096514289,5.8203607506682e-48,0.0283610439191333,0.00674424099154315
35,0.974569238692192,2.68022448119549e-52,0.0207824196813388,0.0147100556778788
36,0.958431321832469,2.60710894765112e-49,0.0137599698637169,0.205815178861211
37,1.00519173237448,1.5593973725509e-55,-0.00659774392667035,0.373830215257732
38,1.05809572118941,1.16674689142622e-61,0.010366721622063,0.118292070164804
39,1.00990333399829,4.22576832567634e-49,0.0168844257379705,0.0694331591700835
40,0.967840251770424,1.25060175210464e-53,0.0172943045303522,0.0492171227910662
41,0.997559097232047,1.03252295895002e-53,0.00120846144070684,0.893074621919011
42,1.01779353232584,1.03437356388019e-56,0.0148025404512564,0.0558668009030769
43,1.01224510279518,1.48580449929397e-56,0.0173750441593929,0.0250577843685325
44,1.05111205650409,3.04165837449626e-51,0.0115016459028625,0.142850444847471
45,1.06752631457927,1.05544950869248e-57,0.0120842250609662,0.096846370774058
46,1.02286952549184,5.98976376112102e-58,0.0163150957953998,0.0475545012686951
47,0.977055819119607,4.67175469050934e-54,0.0208559806987055,0.0356709556683939
48,1.00988399725397,1.24761798766228e-57,0.00741989968923529,0.360907749843895
49,1.01930526183469,9.60280615686312e-49,0.0192444143092915,0.0309258213551326
50,1.00547583236525,2.64436606388164e-50,-0.0015890919749964,0.839504035087079
51,0.979471155912699,2.30467247924492e-66,0.0211155293071233,1.83409078996451e-05
52,0.730951325890351,3.37890228757926e-44,0.0688473342564953,2.16162636343344e-10
53,0.874262190381187,2.38088612237085e-51,0.0245095096312713,0.00683703342777795
54,0.800477019779715,3.80788392730042e-49,0.0592202241511825,4.3020646304941e-10
55,0.776804084654922,8.59032627949677e-51,0.0422291918005372,9.13179429738783e-07
56,0.936604004154243,2.02591822887204e-50,0.0215101753709015,0.0058080158674818
57,0.762426761995119,1.85310909234191e-53,0.0518255026888105,6.94476605320243e-07
58,0.809176563885173,2.16665676398055e-55,0.0171402894613525,0.0808747580655345
59,0.989516044965299,1.75828820286732e-72,0.0353885239904455,7.36154529402871e-05
60,0.990183890779665,1.19957744343171e-75,0.0158802310954155,0.0256100312843684
61,0.969996480872342,1.60205205914845e-47,0.0318825796207936,0.00339247662705686
62,0.971915361984743,8.90947509827092e-49,0.0867714006224982,9.15671633798541e-13
63,0.946114342384456,1.90940632097739e-47,0.0804618098983071,5.94436342130136e-12
64,0.939326238677001,2.25106530001876e-45,0.0244652221520891,0.0197268062141909
65,0.91680190445639,8.60475833279174e-54,0.00975572822525424,0.449659047495263
66,0.985545054351573,5.25462706792915e-70,0.0139963837241322,0.09502177760407
67,0.915281823472022,8.6406202511863e-61,0.0140199086617594,0.0807494268125417
68,0.902326623731659,2.90380266138684e-48,0.0232997996309229,0.0148481666101373
69,0.883612721300661,1.77959359366794e-41,0.013936713120412,0.222074358356536
70,0.860884781231634,1.08473319902191e-54,0.0272478223150089,0.0142865382209212
71,0.914948952105557,1.97650318758661e-62,0.0190142781759249,0.052647803742727
72,0.890389885471268,1.07109473818237e-71,0.037704219066014,2.02036606801208e-05
73,0.876641023332839,2.35672761204168e-46,0.0371428118521152,0.0004531722616168
74,0.965338120699726,1.6680177111778e-58,0.0169355162436112,0.033649602024978
75,0.928890194203953,2.49934648746395e-48,0.0215076816436527,0.023303410792139
76,0.963422388449212,1.6065762616411e-75,0.00834835307320873,0.23679964453634
77,0.980058239859944,3.61495434187441e-47,-0.000977727676542814,0.898416154482823
78,0.919348684115521,2.71184999785836e-66,0.0285101500761847,0.00101245339749989
79,1.0828156827838,1.24566442518441e-66,0.00193170891554681,0.717321449418893
